Date,BMA,CEPU,GGAL,LOMA,PAM,SUPV,TGS,YPF
2010-12-16,51.310001373291016,,14.380000114440918,,15.970000267028809,,5.460000038146973,43.0
2010-12-17,51.15999984741211,,14.569999694824219,,16.809999465942383,,5.239999771118164,43.59000015258789
2010-12-20,50.2400016784668,,15.3100004196167,,16.260000228881836,,5.210000038146973,43.58000183105469
2010-12-21,51.130001068115234,,15.1899995803833,,16.0,,5.320000171661377,44.41999816894531
2010-12-22,50.70000076293945,,15.520000457763672,,16.200000762939453,,5.409999847412109,45.779998779296875
2010-12-23,49.68000030517578,,15.149999618530273,,16.1200008392334,,5.489999771118164,50.34000015258789
2010-12-27,49.11000061035156,,14.899999618530273,,16.65999984741211,,5.309999942779541,49.25
2010-12-28,48.68000030517578,,15.140000343322754,,17.110000610351562,,5.489999771118164,49.5
2010-12-29,48.27000045776367,,15.279999732971191,,17.420000076293945,,5.880000114440918,50.599998474121094
2010-12-30,49.70000076293945,,15.09000015258789,,17.1299991607666,,5.679999828338623,50.22999954223633
2010-12-31,50.20000076293945,,15.3100004196167,,17.0,,5.610000133514404,50.369998931884766
2011-01-03,51.40999984741211,,16.040000915527344,,17.299999237060547,,5.730000019073486,51.150001525878906
2011-01-04,51.16999816894531,,15.869999885559082,,16.940000534057617,,5.710000038146973,53.529998779296875
2011-01-05,48.79999923706055,,15.710000038146973,,17.049999237060547,,5.630000114440918,54.58000183105469
2011-01-06,48.75,,15.550000190734863,,16.649999618530273,,5.550000190734863,54.099998474121094
2011-01-07,49.34000015258789,,15.229999542236328,,16.610000610351562,,5.489999771118164,52.400001525878906
2011-01-10,47.970001220703125,,15.09000015258789,,16.229999542236328,,5.360000133514404,52.75
2011-01-11,47.540000915527344,,15.15999984741211,,16.260000228881836,,5.239999771118164,53.630001068115234
2011-01-12,48.15999984741211,,15.270000457763672,,16.420000076293945,,5.559999942779541,53.0
2011-01-13,47.29999923706055,,15.170000076293945,,16.6200008392334,,5.519999980926514,52.619998931884766
2011-01-14,46.11000061035156,,15.050000190734863,,16.600000381469727,,5.5,51.72999954223633
2011-01-18,47.279998779296875,,15.529999732971191,,17.43000030517578,,5.699999809265137,52.18000030517578
